Parcel_ID,GPIN,Property Street,House Number,Block Number,Full Road Name,Road Name,Property City,Property State,Property Zip,Zip Code Short,Neighborhood,Property Use,Parcel Square Footage,Finished Living Space,2016 Land,2016 Building,2015 Land,2015 Building,2012 Land,2012 Building,Most Recent Sale Date, Sale Price 
71051682                  ,1427895325,613 Mowbray Arch,613 ,600,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1852,23507,150400,Single Family - Detached,0,3760,152600,388500,152600,388500,152600,388500,Aug 16 2013,540000
71051684                  ,1427895348,619 Mowbray Arch,619 ,600,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1852,23507,150400,Single Family - Detached,0,3423,152600,374300,152600,374300,152600,374300,Aug 31 1999,280000
71051686                  ,1427895472,625 Mowbray Arch,625 ,600,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1852,23507,150400,Single Family - Detached,0,4716,190700,457600,190700,457600,190700,457600,Mar 24 2016,0
71051688                  ,1427891465,338 W Olney Rd,338 ,300,W Olney Rd,W Olney ,Norfolk                         ,VA  ,23507-1821,23507,150400,Single Family - Detached,0,2998,189800,331100,189800,324600,189800,324600,Jul 10 2015,500000
71051690                  ,1427892403,334 W Olney Rd,334 ,300,W Olney Rd,W Olney ,Norfolk                         ,VA  ,23507-1821,23507,150400,Single Family - Detached,0,3472,152600,405100,152600,405100,152600,405100,May 29 1991,262000
71051692                  ,1427892441,330 W Olney Rd,330 ,300,W Olney Rd,W Olney ,Norfolk                         ,VA  ,23507-1821,23507,150400,Single Family - Detached,0,3750,152600,396400,152600,396400,152600,396400,May  9 2005,635000
71051694                  ,1427892379,326 W Olney Rd,326 ,300,W Olney Rd,W Olney ,Norfolk                         ,VA  ,23507-1821,23507,150400,Single Family - Detached,4000,3163,152600,286200,152600,286200,152600,286200,Feb 29 2016,479000
71051696                  ,1427893317,322 W Olney Rd,322 ,300,W Olney Rd,W Olney ,Norfolk                         ,VA  ,23507-1821,23507,150400,Single Family - Detached,0,3196,152600,325900,152600,325900,152600,325900,Sep 24 2012,512500
71051698                  ,1427893345,318 W Olney Rd,318 ,300,W Olney Rd,W Olney ,Norfolk                         ,VA  ,23507-1821,23507,150400,Single Family - Detached,0,3696,152600,374200,152600,374200,152600,374200,Feb 17 2003,460000
71051700                  ,1427893383,314 W Olney Rd,314 ,300,W Olney Rd,W Olney ,Norfolk                         ,VA  ,23507-1821,23507,150400,Single Family - Detached,0,3857,190700,387200,190700,387200,190700,387200,Dec 29 2003,495000
71051701                  ,1427893698,624 West Mowbray Ct,624 ,600,West Mowbray Ct,West Mowbray ,Norfolk                         ,VA  ,23507-1855,23507,150400,Single Family - Detached,0,3290,197600,423900,197600,423900,197600,423900,Feb 11 2010,765000
71051702                  ,1427893683,618 West Mowbray Ct,618 ,600,West Mowbray Ct,West Mowbray ,Norfolk                         ,VA  ,23507-1855,23507,150400,Single Family - Detached,0,3206,178400,344400,178400,344400,178400,344400,Jan  9 2015,490000
71051703                  ,1427893650,612 West Mowbray Ct,612 ,600,West Mowbray Ct,West Mowbray ,Norfolk                         ,VA  ,23507-1855,23507,150400,Single Family - Detached,0,2782,177300,308300,177300,308300,177300,308300,Sep  2 1987,179500
